id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,outputFormat
ark://27927/pbf35z6nz,Chinese Intellectual Property and Technology Laws,Elgar E-Books,2011,10.4337/9780857935229,book,,portico,,2011-10-31,,,http://doi.org/10.4337/9780857935229,Rohan  Kariyawasam,Edward Elgar Publishing,eng,,,,intellectual property; kariyawasam textindd; trade secrets; chinese; beijing; m2666 kariyawasam textindd; chinese intellectual; technology; technology laws; protection,206924,520,unigram; bigram; trigram
ark://27927/phw8v7h3mm,Denmark's Ugly Ducklings: Georg Brandes and Asta Nielsen's Metacultural Contributions to Constructions of Danish National Identity,Scandinavian Studies,2011,,article,,portico,,2011-12-08,1,83,,Julie K. Allen,Project MUSE,eng,63,90,,asta nielsen; brandes; danish; georg brandes; denmark; copenhagen; brandes and asta; scandinavian studies; danish film; danish culture,11024,28,unigram; bigram; trigram
ark://27927/phzgn5n913r,"Book Review: Sather, Clifford. A Borneo healing romance: ritual storytelling and the Sugi Sakit, a Saribas Iban rite of healing. xvi, 559 pp., map, figs, illus., bibliogr. Phillips, Maine: Borneo Research Council, 2017. RM120 (paper)",Journal of the Royal Anthropological Institute,2020,10.1111/1467-9655.13323,article,,portico,,2020-09-01,3,26,http://doi.org/10.1111/1467-9655.13323,Michael Heppell,"John Wiley & Sons, Inc.",eng,661,662,,royal anthropological; anthropological institute; royal anthropological institute; illus bibliogr; heritage; archaeology; japanese; kuijpers; afro japanese; sliwinski,33830,45,unigram; bigram; trigram
http://www.jstor.org/stable/3172188,The Literary Legacy of Frederick Courteney Selous,History in Africa,1998,,article,research-article,jstor,,1998-01-01,,25,http://www.jstor.org/stable/3172188,E. Mandiringana; T. J. Stapleton,Cambridge University Press,eng,199,218,,selous; haggard; hunters wanderings; selous hunters; solomons mines; king solomons; courteney selous; ndebele; selous hunters wanderings; rhodesian,8541,20,unigrams; bigrams; trigrams
http://www.jstor.org/stable/j.ctv941r5j.12,NOTES,Parameters of Disavowal: Colonial Representation in South Korean Cinema,2018,,chapter,notes,jstor,,2018-01-01,,,http://www.jstor.org/stable/j.ctv941r5j.12,Jinsoo An,University of California Press,eng,133,164,"Oakland, California",korean; korean cinema; korean film; colonial; japanese; south korean; nationalist; tonga ilbo; postcolonial; kyung hyun,17480,31,unigrams; bigrams; trigrams; fullText
http://www.jstor.org/stable/26748087,Film Studies,The Year's Work in Modern Language Studies,2017,,article,research-article,jstor,,2017-01-01,,77,http://www.jstor.org/stable/26748087,Ben McCann,Modern Humanities Research Association,eng,61,71,,cinema; french cinema; screen; maghrebi; stardom; contemporary french; french film; film studies; argues; ageing,6504,11,unigrams; bigrams; trigrams
ark://27927/pbd841w1rg,"7. Luis Alcoriza; or, A Certain Antimelodramatic Tendency in Mexican Cinema",Latin American Melodrama,2009,,chapter,,portico,,2009-01-01,,,,Marvin DLugo,University of Illinois Press,eng,110,129,,melodrama; melodramatic; mecánica nacional; mexican; martín barbero; cinema; mexican cinema; mexico; doña lolita; maría candelaria,8143,20,unigram; bigram; trigram
ark://27927/phx2p1j0jpg,"Annual Film Book Survey, Part 1",Film Quarterly,2002,10.1525/fq.2002.55.4.49,article,,portico,,2002-06-01,4,55,http://doi.org/10.1525/fq.2002.55.4.49,,University of California Press,eng,49,73,,hollywood; movies; scandal; censorship; reality; audiences; cinema; studios; digital; perception,25051,25,unigram; bigram; trigram
https://chroniclingamerica.loc.gov/lccn/sn86063730/1936-03-16/ed-2,"Brownsville herald. [volume] : (Brownsville, Tex.) 1910-current, issue 1936-03-16","Brownsville herald. [volume] : (Brownsville, Tex.) 1910-current",1936,,newspaper,,loc-chronam,,1936-03-16,,,https://chroniclingamerica.loc.gov/lccn/sn86063730/1936-03-16/ed-2/,,Brownsville Herald Pub. Co.,spa; eng,1,8,"Brownsville, Tex.",assistants pet; brownsville; san benito; patton; valley; port isabel; mcgehee; mixed citrus; champion; sheriff sweeten,31460,8,unigrams; bigrams; trigrams
ark://27927/pjb6w1nwwkj,The politics of belonging in the Himalayas. Local attachments and boundary dynamics by Pfaff‐Czarnecka Joanna and Gerard Toffin,Social Anthropology,2013,10.1111/1469-8676.12004_17,article,book-review,portico,,2013-02-01,1,21,http://doi.org/10.1111/1469-8676.12004_17,SUBHADRA MITRA CHANNA,Berghahn,eng,115,116,,anthropologists; social anthropologists; intangible heritage; krause jensen; chibnik; anthropology; havana; mediterranean; political; mauritius,21201,29,unigram; bigram; trigram
