id,title,isPartOf,publicationYear,doi,docType,provider,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/2866221,Review Article,Shakespeare Quarterly,1951,,article,jstor,1951-04-01,2,2,http://www.jstor.org/stable/2866221,A. H. R. Fairchild,Folger Shakespeare Library,eng,133,134,,1207,2,unigram; bigram; trigram
http://www.jstor.org/stable/2868793,Review Article,Shakespeare Quarterly,1974,,article,jstor,1974-07-01,3,25,http://www.jstor.org/stable/2868793,Marion O'Connor,Folger Shakespeare Library,eng,370,373,,1914,4,unigram; bigram; trigram
http://www.jstor.org/stable/2870918,Review Article,Shakespeare Quarterly,1992,,article,jstor,1992-04-01,1,43,http://www.jstor.org/stable/2870918,John W. Velz,Folger Shakespeare Library,eng,107,109,,1517,3,unigram; bigram; trigram
http://www.jstor.org/stable/41819770,Review Article,Shakespeare Quarterly,2012,,article,jstor,2012-12-01,4,63,http://www.jstor.org/stable/41819770,Darryl Gless,Folger Shakespeare Library,eng,580,587,,3658,8,unigram; bigram; trigram
http://www.jstor.org/stable/2866912,Review Article,Shakespeare Quarterly,1962,,article,jstor,1962-01-01,1,13,http://www.jstor.org/stable/2866912,R. G. Cox,Folger Shakespeare Library,eng,96,97,,573,2,unigram; bigram; trigram
http://www.jstor.org/stable/2869261,Falstaff in Windsor Forest: Villain or Victim?,Shakespeare Quarterly,1975,,article,jstor,1975-01-01,1,26,http://www.jstor.org/stable/2869261,Jeanne Addison Roberts,Folger Shakespeare Library,eng,8,15,,4193,8,unigram; bigram; trigram
http://www.jstor.org/stable/2871217,"Shakespearean Chronology, Ideological Complicity, and Floating Texts: Something is Rotten in Windsor",Shakespeare Quarterly,1994,,article,jstor,1994-07-01,2,45,http://www.jstor.org/stable/2871217,Barbara Freedman,Folger Shakespeare Library,eng,190,210,,12472,21,unigram; bigram; trigram
http://www.jstor.org/stable/2870776,Coriolanus: Body Politic and Private Parts,Shakespeare Quarterly,1990,,article,jstor,1990-12-01,4,41,http://www.jstor.org/stable/2870776,Zvi Jagendorf,Folger Shakespeare Library,eng,455,469,,8209,15,unigram; bigram; trigram
http://www.jstor.org/stable/2869933,"Shakespeare in West Germany, 1983",Shakespeare Quarterly,1984,,article,jstor,1984-07-01,2,35,http://www.jstor.org/stable/2869933,Wilhelm Hortmann,Folger Shakespeare Library,eng,214,218,,2764,5,unigram; bigram; trigram
http://www.jstor.org/stable/2902131,Fragments of Nationalism in Troilus and Cressida,Shakespeare Quarterly,2000,,article,jstor,2000-07-01,2,51,http://www.jstor.org/stable/2902131,Matthew A. Greenfield,Folger Shakespeare Library,eng,181,200,,9538,20,unigram; bigram; trigram
http://www.jstor.org/stable/2871118,Love as Trompe-l'oeil: Taxonomies of Desire in Venus and Adonis,Shakespeare Quarterly,1995,,article,jstor,1995-10-01,3,46,http://www.jstor.org/stable/2871118,Catherine Belsey,Folger Shakespeare Library,eng,257,276,,10617,20,unigram; bigram; trigram
